title,title_detail,links,link,summary,summary_detail,parss_primesponsor,parss_cosponsors,parss_lastaction,parss_enacted,parss_passedhouse,parss_passedsenate,published,published_parsed,id,guidislink
House Bill 752 Printer's Number 701,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 752 Printer's Number 701""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=752&pn=701'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=752&pn=701,"An Act amending Title 20 (Decedents, Estates and Fiduciaries) of the Pennsylvania Consolidated Statutes, in dispositions independent of letters, family exemption, probate of wills and grant of letters, further providing for payments to family and funeral directors....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 20 (Decedents, Estates and Fiduciaries) of the Pennsylvania Consolidated Statutes, in dispositions independent of letters, family exemption, probate of wills and grant of letters, further providing for payments to family and funeral directors....'}",Representative BONNER,"CIRESI, ECKER, GILLEN, JAMES, JOZWIAK, KAUFFMAN, M. MACKENZIE, B. MILLER, MOUL, N. NELSON, ROWE, SCIALABBA, STAATS, WARREN, C. WILLIAMS and ZIMMERMAN","Referred to JUDICIARY,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 16:11:01 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=16, tm_min=11, tm_sec=1, tm_wday=1, tm_yday=87, tm_isdst=0)",20230HB752P701,False
House Bill 751 Printer's Number 700,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 751 Printer's Number 700""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=751&pn=700'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=751&pn=700,"An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in sentencing, further providing for sentencing procedure for murder of the first degree....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in sentencing, further providing for sentencing procedure for murder of the first degree....'}",Representative BONNER,JOZWIAK and ZIMMERMAN,"Referred to JUDICIARY,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 16:10:35 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=16, tm_min=10, tm_sec=35, tm_wday=1, tm_yday=87, tm_isdst=0)",20230HB751P700,False
House Bill 750 Printer's Number 699,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 750 Printer's Number 699""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=750&pn=699'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=750&pn=699,"An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in wiretapping and electronic surveillance, further providing for exceptions to prohibition of interception and disclosure of communications....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in wiretapping and electronic surveillance, further providing for exceptions to prohibition of interception and disclosure of communications....'}",Representative BONNER,"CIRESI, GILLEN, JOZWIAK, KAUFFMAN, B. MILLER, MOUL, SCIALABBA, TAKAC, C. WILLIAMS and ZIMMERMAN","Referred to JUDICIARY,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 16:10:07 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=16, tm_min=10, tm_sec=7, tm_wday=1, tm_yday=87, tm_isdst=0)",20230HB750P699,False
House Bill 749 Printer's Number 698,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 749 Printer's Number 698""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=749&pn=698'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=749&pn=698,"An Act amending Title 71 (State Government) of the Pennsylvania Consolidated Statutes, in preliminary provisions relating to retirement for State employees and officers, further providing for definitions; and, in membership, credited service, classes of service, and eligibility for benefits, further providing for creditable nonstate service....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 71 (State Government) of the Pennsylvania Consolidated Statutes, in preliminary provisions relating to retirement for State employees and officers, further providing for definitions; and, in membership, credited service, classes of service, and eligibility for benefits, further providing for creditable nonstate service....'}",Representative BONNER,"BURGOS, GLEIM, GUENST, KEEFER, MARSHALL, C. WILLIAMS and GILLEN","Referred to FINANCE,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 16:09:42 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=16, tm_min=9, tm_sec=42, tm_wday=1, tm_yday=87, tm_isdst=0)",20230HB749P698,False
House Bill 748 Printer's Number 697,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 748 Printer's Number 697""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=748&pn=697'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=748&pn=697,"An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in obstructing governmental operations, providing for enforcement of State law....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in obstructing governmental operations, providing for enforcement of State law....'}",Representative BONNER,"GILLEN, HAMM, JOZWIAK, KEEFER, M. MACKENZIE, ROAE and STAATS","Referred to JUDICIARY,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 16:09:15 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=16, tm_min=9, tm_sec=15, tm_wday=1, tm_yday=87, tm_isdst=0)",20230HB748P697,False
House Bill 747 Printer's Number 696,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 747 Printer's Number 696""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=747&pn=696'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=747&pn=696,"An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in organization of appellate courts, further providing for reassignment of matters; and, in organization and jurisdiction of courts of common pleas, further providing for original jurisdiction and venue....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in organization of appellate courts, further providing for reassignment of matters; and, in organization and jurisdiction of courts of common pleas, further providing for original jurisdiction and venue....'}",Representative ECKER,"PICKETT, MOUL, JAMES, IRVIN, GROVE, HAMM, KAUFFMAN, MENTZER and GUENST","Referred to JUDICIARY,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 16:08:45 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=16, tm_min=8, tm_sec=45, tm_wday=1, tm_yday=87, tm_isdst=0)",20230HB747P696,False
House Bill 746 Printer's Number 695,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 746 Printer's Number 695""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=746&pn=695'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=746&pn=695,"An Act amending Title 71 (State Government) of the Pennsylvania Consolidated Statutes, in boards and offices, providing for Office of Information Technology....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 71 (State Government) of the Pennsylvania Consolidated Statutes, in boards and offices, providing for Office of Information Technology....'}",Representative D. MILLER,"MARKOSEK, KINSEY, HILL-EVANS, SCHLOSSBERG, MADDEN, DELLOSO, SANCHEZ, PARKER, MERSKI, ABNEY, D. WILLIAMS and OTTEN","Referred to STATE GOVERNMENT,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 16:07:24 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=16, tm_min=7, tm_sec=24, tm_wday=1, tm_yday=87, tm_isdst=0)",20230HB746P695,False
House Bill 745 Printer's Number 694,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 745 Printer's Number 694""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=745&pn=694'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=745&pn=694,An Act providing for the licensure of fire-resistant material applicators; establishing the Fireproofing Applicator Licensing Board; and imposing penalties.,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act providing for the licensure of fire-resistant material applicators; establishing the Fireproofing Applicator Licensing Board; and imposing penalties.'}",Representative D. MILLER,"GALLOWAY, MADDEN, KINSEY, SANCHEZ, CIRESI, N. NELSON, SCHWEYER and NEILSON","Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 16:06:37 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=16, tm_min=6, tm_sec=37, tm_wday=1, tm_yday=87, tm_isdst=0)",20230HB745P694,False
House Bill 744 Printer's Number 693,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 744 Printer's Number 693""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=744&pn=693'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=744&pn=693,"An Act amending the act of July 2, 1984 (P.L.555, No.111), known as the Small Business Incubators Act, further providing for definitions, for creation of program, for incubator grants, loans and loan guarantees and for responsibilities of local sponsors; repealing provisions relating to challenge grants for seed capital funds; further providing for general powers and duties of the board and for indicators of program impact; providing for funding sources; repealing provisions relating to time limit on approvals; and making a repeal....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending the act of July 2, 1984 (P.L.555, No.111), known as the Small Business Incubators Act, further providing for definitions, for creation of program, for incubator grants, loans and loan guarantees and for responsibilities of local sponsors; repealing provisions relating to challenge grants for seed capital funds; further providing for general powers and duties of the board and for indicators of program impact; providing for funding sources; repealing provisions relating to time limit on approvals; and making a repeal....'}",Representative ABNEY,"MADDEN, KINSEY, GUENST, PROBST, D. WILLIAMS, HILL-EVANS, MALAGARI, SANCHEZ, WAXMAN, CEPEDA-FREYTIZ, SCHLOSSBERG, N. NELSON, DEASY, MERSKI, CONKLIN, SIEGEL, MADSEN, BOROWSKI, HANBIDGE and INNAMORATO","Referred to COMMERCE,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 16:06:07 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=16, tm_min=6, tm_sec=7, tm_wday=1, tm_yday=87, tm_isdst=0)",20230HB744P693,False
House Bill 743 Printer's Number 692,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 743 Printer's Number 692""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=743&pn=692'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=743&pn=692,"An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in criminal history record information, providing for unified criminal justice data collection....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in criminal history record information, providing for unified criminal justice data collection....'}",Representative ABNEY,"RABB, SANCHEZ, HILL-EVANS, SCHLOSSBERG, MADDEN, D. WILLIAMS, KINKEAD, N. NELSON, KINSEY, KRAJEWSKI, KHAN, CEPEDA-FREYTIZ, McANDREW, WAXMAN, BURGOS and INNAMORATO","Referred to JUDICIARY,  March 28, 2023",NO,NO,NO,"Tue, 28 Mar 2023 16:05:43 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=28, tm_hour=16, tm_min=5, tm_sec=43, tm_wday=1, tm_yday=87, tm_isdst=0)",20230HB743P692,False
