title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink
"PA Senate Journal for January 03, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'PA Senate Journal for January 03, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230103.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230103.pdf,"Transcripts of Senate Floor Actions for January 03, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'Transcripts of Senate Floor Actions for January 03, 2023'}","Mon, 27 Feb 2023 21:38:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=27, tm_hour=21, tm_min=38, tm_sec=0, tm_wday=0, tm_yday=58, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230103.pdf20230227043800,False
"PA Senate Journal for January 06, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'PA Senate Journal for January 06, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230106.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230106.pdf,"Transcripts of Senate Floor Actions for January 06, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'Transcripts of Senate Floor Actions for January 06, 2023'}","Wed, 01 Mar 2023 18:26:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=18, tm_min=26, tm_sec=0, tm_wday=2, tm_yday=60, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230106.pdf20230301012600,False
"PA Senate Journal for January 09, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'PA Senate Journal for January 09, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230109.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230109.pdf,"Transcripts of Senate Floor Actions for January 09, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'Transcripts of Senate Floor Actions for January 09, 2023'}","Mon, 06 Mar 2023 22:07:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=22, tm_min=7, tm_sec=0, tm_wday=0, tm_yday=65, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230109.pdf20230306050700,False
"PA Senate Journal for January 10, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'PA Senate Journal for January 10, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230110.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230110.pdf,"Transcripts of Senate Floor Actions for January 10, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'Transcripts of Senate Floor Actions for January 10, 2023'}","Mon, 06 Mar 2023 22:09:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=22, tm_min=9, tm_sec=0, tm_wday=0, tm_yday=65, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230110.pdf20230306050900,False
"PA Senate Journal for January 11, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'PA Senate Journal for January 11, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230111.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230111.pdf,"Transcripts of Senate Floor Actions for January 11, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'Transcripts of Senate Floor Actions for January 11, 2023'}","Mon, 06 Mar 2023 22:13:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=22, tm_min=13, tm_sec=0, tm_wday=0, tm_yday=65, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230111.pdf20230306051300,False
"PA Senate Journal for January 13, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'PA Senate Journal for January 13, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230113.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230113.pdf,"Transcripts of Senate Floor Actions for January 13, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'Transcripts of Senate Floor Actions for January 13, 2023'}","Wed, 08 Mar 2023 19:56:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=19, tm_min=56, tm_sec=0, tm_wday=2, tm_yday=67, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230113.pdf20230308025600,False
"PA Senate Journal for January 17, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'PA Senate Journal for January 17, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230117.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230117.pdf,"Transcripts of Senate Floor Actions for January 17, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'Transcripts of Senate Floor Actions for January 17, 2023'}","Wed, 08 Mar 2023 19:59:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=19, tm_min=59, tm_sec=0, tm_wday=2, tm_yday=67, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230117.pdf20230308025900,False
"PA Senate Journal for January 18, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'PA Senate Journal for January 18, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230118.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230118.pdf,"Transcripts of Senate Floor Actions for January 18, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateJournals.xml', 'value': 'Transcripts of Senate Floor Actions for January 18, 2023'}","Wed, 08 Mar 2023 20:02:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=20, tm_min=2, tm_sec=0, tm_wday=2, tm_yday=67, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230118.pdf20230308030200,False
