title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink
Amendment 149 to House Bill 2 Printer Number's 5,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/HouseAmendments.xml', 'value': ""Amendment 149 to House Bill 2 Printer Number's 5""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=H&type=B&bn=2&pn=0005&ayear=2023&an=00149'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=H&type=B&bn=2&pn=0005&ayear=2023&an=00149,Filed on 3/2/2023 for Representative B. MILLER,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/HouseAmendments.xml', 'value': 'Filed on 3/2/2023 for Representative B. MILLER'}","Thu, 02 Mar 2023 12:02:58 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=2, tm_hour=12, tm_min=2, tm_sec=58, tm_wday=3, tm_yday=61, tm_isdst=0)",HB2P0005A149,False
Amendment 49 to House Bill 2 Printer Number's 8,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/HouseAmendments.xml', 'value': ""Amendment 49 to House Bill 2 Printer Number's 8""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=1&body=H&type=B&bn=2&pn=0008&ayear=2023&an=00049'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=1&body=H&type=B&bn=2&pn=0008&ayear=2023&an=00049,Filed on 2/22/2023 for Representative B. MILLER,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/HouseAmendments.xml', 'value': 'Filed on 2/22/2023 for Representative B. MILLER'}","Thu, 23 Feb 2023 13:55:46 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=23, tm_hour=13, tm_min=55, tm_sec=46, tm_wday=3, tm_yday=54, tm_isdst=0)",HB2P0008A49,False
Amendment 46 to House Bill 2 Printer Number's 8,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/HouseAmendments.xml', 'value': ""Amendment 46 to House Bill 2 Printer Number's 8""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=1&body=H&type=B&bn=2&pn=0008&ayear=2023&an=00046'}]",https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=1&body=H&type=B&bn=2&pn=0008&ayear=2023&an=00046,Filed on 2/22/2023 for Representative E. NELSON,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/FA/HouseAmendments.xml', 'value': 'Filed on 2/22/2023 for Representative E. NELSON'}","Thu, 23 Feb 2023 13:47:13 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=23, tm_hour=13, tm_min=47, tm_sec=13, tm_wday=3, tm_yday=54, tm_isdst=0)",HB2P0008A46,False
