title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink,parss_meetingdate,parss_meetingtime,parss_location,parss_committee,parss_bills,parss_incapitol,parss_locationroom,parss_locationbuilding
05/03/2023 Call of Chair APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '05/03/2023 Call of Chair APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Voting Meeting - Agenda to be announced. - Room 140 Main Capitol'}","Wed, 03 May 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=3, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=123, tm_isdst=0)",05/03/2023 Call of Chair APPROPRIATIONS (H)Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,False,05/03/2023,Call of Chair,Room 140 Main Capitol,HOUSE APPROPRIATIONS,,1,140,Main Capitol
05/22/2023 Call of Chair APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '05/22/2023 Call of Chair APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Voting Meeting - Agenda to be announced. - Room 140 Main Capitol'}","Mon, 22 May 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=22, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=142, tm_isdst=0)",05/22/2023 Call of Chair APPROPRIATIONS (H)Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,False,05/22/2023,Call of Chair,Room 140 Main Capitol,HOUSE APPROPRIATIONS,,1,140,Main Capitol
05/23/2023 Call of Chair APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '05/23/2023 Call of Chair APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Voting Meeting - Agenda to be announced. - Room 140 Main Capitol'}","Tue, 23 May 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=23, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=143, tm_isdst=0)",05/23/2023 Call of Chair APPROPRIATIONS (H)Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,False,05/23/2023,Call of Chair,Room 140 Main Capitol,HOUSE APPROPRIATIONS,,1,140,Main Capitol
05/24/2023 Call of Chair APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '05/24/2023 Call of Chair APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Voting Meeting - Agenda to be announced. - Room 140 Main Capitol'}","Wed, 24 May 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=5, tm_mday=24, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=144, tm_isdst=0)",05/24/2023 Call of Chair APPROPRIATIONS (H)Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,False,05/24/2023,Call of Chair,Room 140 Main Capitol,HOUSE APPROPRIATIONS,,1,140,Main Capitol
06/05/2023 Call of Chair APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '06/05/2023 Call of Chair APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Voting Meeting - Agenda to be announced. - Room 140 Main Capitol'}","Mon, 05 Jun 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=6, tm_mday=5, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=156, tm_isdst=0)",06/05/2023 Call of Chair APPROPRIATIONS (H)Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,False,06/05/2023,Call of Chair,Room 140 Main Capitol,HOUSE APPROPRIATIONS,,1,140,Main Capitol
06/06/2023 Call of Chair APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '06/06/2023 Call of Chair APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Voting Meeting - Agenda to be announced. - Room 140 Main Capitol'}","Tue, 06 Jun 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=6, tm_mday=6, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=157, tm_isdst=0)",06/06/2023 Call of Chair APPROPRIATIONS (H)Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,False,06/06/2023,Call of Chair,Room 140 Main Capitol,HOUSE APPROPRIATIONS,,1,140,Main Capitol
06/07/2023 Call of Chair APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '06/07/2023 Call of Chair APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Voting Meeting - Agenda to be announced. - Room 140 Main Capitol'}","Wed, 07 Jun 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=6, tm_mday=7, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=158, tm_isdst=0)",06/07/2023 Call of Chair APPROPRIATIONS (H)Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,False,06/07/2023,Call of Chair,Room 140 Main Capitol,HOUSE APPROPRIATIONS,,1,140,Main Capitol
06/12/2023 Call of Chair APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '06/12/2023 Call of Chair APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Voting meeting - agenda to be announced. - Room 140 Main Capitol,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Voting meeting - agenda to be announced. - Room 140 Main Capitol'}","Mon, 12 Jun 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=6, tm_mday=12, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=163, tm_isdst=0)",06/12/2023 Call of Chair APPROPRIATIONS (H)Voting meeting - agenda to be announced. - Room 140 Main Capitol,False,06/12/2023,Call of Chair,Room 140 Main Capitol,HOUSE APPROPRIATIONS,,1,140,Main Capitol
06/13/2023 Call of Chair APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '06/13/2023 Call of Chair APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Voting Meeting - Agenda to be announced. - Room 140 Main Capitol'}","Tue, 13 Jun 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=6, tm_mday=13, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=164, tm_isdst=0)",06/13/2023 Call of Chair APPROPRIATIONS (H)Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,False,06/13/2023,Call of Chair,Room 140 Main Capitol,HOUSE APPROPRIATIONS,,1,140,Main Capitol
06/14/2023 Call of Chair APPROPRIATIONS (H),"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': '06/14/2023 Call of Chair APPROPRIATIONS (H)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H'}]",https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=H,Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/CMSH.xml', 'value': 'Voting Meeting - Agenda to be announced. - Room 140 Main Capitol'}","Wed, 14 Jun 2023 04:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=6, tm_mday=14, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=165, tm_isdst=0)",06/14/2023 Call of Chair APPROPRIATIONS (H)Voting Meeting - Agenda to be announced. - Room 140 Main Capitol,False,06/14/2023,Call of Chair,Room 140 Main Capitol,HOUSE APPROPRIATIONS,,1,140,Main Capitol
